"Cluster","Type","RA_ICRS","DE_ICRS","logAge","e_logAge","Av","Dist","[Fe/H]","Teff-IRFM","e_Teff-IRFM","Teff-iso","NBSS","NMS","fBSS/MS","e_fBSS/MS"
"berkeley_39","open_cluster",116.893,-4.735,9.811,0.029,0.394,4156,0.0,5932,84,6038,22,264.0,0.14,0.025
"berkeley_32","open_cluster",104.738,6.379,9.686,0.022,0.553,3321,-0.3,6286,125,6403,14,139.0,0.151,0.035
"collinder_261","open_cluster",189.802,-68.492,9.898,0.065,0.999,2706,0.1,5772,72,5865,64,460.0,0.228,0.025
"collinder_110","open_cluster",99.872,2.026,9.163,0.028,1.642,2400,-0.05,7170,200,7236,8,157.0,0.057,0.02
"ic_1311","open_cluster",302.846,41.196,9.148,0.021,1.554,5886,0.05,7048,177,7129,1,157.0,0.006,0.006
"ic_166","open_cluster",28.371,61.903,9.006,0.016,2.845,5371,0.15,7538,212,7542,12,248.0,0.056,0.015
"king_1","open_cluster",5.732,64.445,9.371,0.08,2.544,1646,-0.1,6532,139,6657,7,144.0,0.062,0.021
"melotte_66","open_cluster",111.701,-47.749,9.652,0.018,0.583,4692,-0.4,6402,142,6519,14,353.0,0.099,0.018
"melotte_71","open_cluster",114.593,-12.125,9.123,0.008,0.5,1927,-0.2,7718,284,7695,3,61.0,0.082,0.038
"ngc_188","open_cluster",12.536,85.322,9.792,0.018,0.233,1859,0.2,5818,74,5928,18,211.0,0.095,0.022
"ngc_559","open_cluster",22.717,63.365,8.767,0.03,2.188,2349,-0.05,9503,501,9089,1,76.0,0.013,0.013
"ngc_1245","open_cluster",48.967,47.261,9.079,0.009,0.831,2763,-0.1,7724,269,7691,5,105.0,0.057,0.024
"ngc_1817","open_cluster",78.379,16.683,9.092,0.009,0.722,1582,-0.1,7646,260,7631,1,37.0,0.135,0.064
"ngc_2099","open_cluster",88.336,32.522,8.784,0.021,0.922,1299,0.0,9377,465,8947,1,131.0,0.008,0.008
"ngc_2112","open_cluster",88.673,0.377,9.083,0.07,2.328,1500,0.15,7155,177,7214,8,74.0,0.149,0.048
"ngc_2141","open_cluster",90.965,10.422,9.36,0.043,0.992,4213,0.27,6256,100,6389,23,226.0,0.115,0.024
"ngc_2194","open_cluster",93.654,12.78,8.823,0.025,1.562,2869,-0.1,9393,502,8966,2,80.0,0.025,0.018
"ngc_2204","open_cluster",94.057,-18.705,9.316,0.013,0.183,4114,-0.15,6742,164,6853,5,126.0,0.048,0.02
"ngc_2236","open_cluster",97.641,6.791,8.951,0.029,1.651,2418,-0.15,8717,414,8400,3,56.0,0.054,0.032
"ngc_2243","open_cluster",97.539,-31.317,9.537,0.018,0.265,3996,-0.45,6705,181,6819,6,126.0,0.056,0.022
"ngc_2420","open_cluster",114.861,21.514,9.347,0.012,0.117,2435,-0.15,6640,153,6759,3,62.0,0.048,0.028
"ngc_2477","open_cluster",118.197,-38.612,8.973,0.021,1.19,1351,-0.05,8277,329,8087,7,184.0,0.049,0.017
"ngc_2506","open_cluster",120.225,-10.835,9.322,0.012,0.261,3231,-0.31,6926,198,7029,8,216.0,0.056,0.017
"ngc_2660","open_cluster",130.755,-47.27,9.076,0.034,1.458,2642,0.0,7508,230,7509,4,67.0,0.09,0.038
"ngc_2682","open_cluster",133.07,11.731,9.575,0.014,0.127,865,0.15,6009,87,6132,9,102.0,0.098,0.032
"ngc_3496","open_cluster",165.012,-60.451,8.751,0.026,1.62,2052,0.05,9468,461,9018,1,51.0,0.02,0.02
"ngc_6134","open_cluster",247.249,-49.227,9.106,0.023,1.275,1055,-0.125,7629,262,7623,4,42.0,0.119,0.056
"ngc_6253","open_cluster",255.118,-52.762,9.549,0.024,0.793,1674,0.3,5918,79,6045,8,102.0,0.137,0.039
"ngc_6791","open_cluster",290.375,37.778,9.859,0.018,0.39,4447,0.5,5558,62,5656,35,1023.0,0.071,0.009
"ngc_6819","open_cluster",295.494,40.214,9.42,0.015,0.487,2444,0.05,6293,111,6421,14,254.0,0.055,0.015
"ngc_6939","open_cluster",307.968,60.689,9.207,0.025,0.919,1757,0.45,6371,100,6518,5,80.0,0.062,0.029
"ngc_7044","open_cluster",318.457,42.531,9.123,0.015,2.649,3225,-0.15,7596,261,7591,5,187.0,0.027,0.012
"ngc_7142","open_cluster",326.4,65.824,9.553,0.018,1.286,2040,-0.1,6237,112,6366,10,81.0,0.185,0.052
"ngc_7789","open_cluster",359.562,56.792,9.208,0.006,1.017,1907,-0.1,7070,194,7153,16,376.0,0.074,0.014
"pismis_3","open_cluster",128.006,-38.718,9.05,0.12,3.585,2870,-0.1,7903,291,7827,4,321.0,0.012,0.006
"ruprecht_171","open_cluster",278.257,-16.076,9.471,0.011,0.925,1512,-0.1,6333,121,6461,4,107.0,0.047,0.022
"trumpler__5","open_cluster",99.36,9.427,9.539,0.011,2.022,3260,-0.4,6545,158,6665,45,836.0,0.087,0.011
"trumpler_19","open_cluster",168.799,-57.679,9.616,0.034,0.63,2344,0.0,6111,98,6234,13,143.0,0.119,0.031
"trumpler_20","open_cluster",190.134,-60.74,9.179,0.011,1.425,3386,-0.05,7095,192,7173,12,265.0,0.06,0.015
"trumpler_23","open_cluster",240.551,-53.608,8.85,0.113,2.28,2590,0.35,8040,223,7910,2,85.0,0.047,0.024
"fof_145,lp_145","open_cluster",256.957,-44.157,8.854,0.029,3.92,1806,0.4,7935,205,7814,6,99.0,0.061,0.026
"ubc_252","open_cluster",139.297,-54.243,9.073,0.015,1.44,3951,-0.35,8447,421,8222,1,89.0,0.011,0.011
