"NAME","ra","dec","plx","pmra","pmde","a_mean","a_std","E_mean","E_std","d_mean","d_std","M_mean","M_std","b_mean","b_std"
"berkeley_32",104.5327, 6.4367, 0.2759, -0.361, -1.588,9.84669,0.00896267,0.0786843,0.00325394,12.5235,0.00620547,16649.2,559.894,0.291321,0.0183537
"berkeley_39", 116.7015, -4.6686, 0.2271, -1.726, -1.626,9.89571,0.0233946,0.113631,0.00811635,12.9842,0.0213478,16716.1,967.185,0.233651,0.0434518
"collinder_261", 189.5178, -68.3772, 0.3456, -6.365, -2.686,9.90872,0.0336494,0.324155,0.00856852,12.0519,0.0108048,36940.9,2600.26,0.373635,0.0282797
"melotte_66", 111.5824, -47.6844, 0.1932, -1.4305, 2.771,9.67731,0.0056494,0.106356,0.00168376,13.3525,0.00918888,20958.1,887.277,0.341967,0.0271359
"ngc_188", 11.7753, 85.2425, 0.5258, -2.322, -1.015,9.89786,0.0080068,0.0790958,0.00103467,11.2039,0.00376645,14859.7,607.735,0.327934,0.0317172
"ngc_2141", 90.7408, 10.455, 0.2097, -0.076, -0.755,9.41724,0.00752902,0.353371,0.00346497,13.0527,0.014488,26250.6,1385.78,0.362372,0.0295757
"ngc_2158", 91.8618, 24.0985, 0.2311, -0.193, -1.978,9.48524,0.121245,0.429234,0.0323039,12.7779,0.065547,38853.9,4453.76,0.367827,0.0501
"ngc_2243", 97.3934, -31.2842, 0.2224, -1.263, 5.493,9.53478,0.005469,0.000576515,0.00051083,13.0544,0.00473183,9279.09,888.429,0.158631,0.0268028
"ngc_2506", 120.0094, -10.7735, 0.282, -2.557, 3.969,9.32902,0.0244956,0.0271563,0.0110803,12.5362,0.0284123,19933.7,1194.2,0.198676,0.0236719
"ngc_2682", 132.8463, 11.8202, 1.1523, -10.971, -2.913,9.71667,0.0247962,0.0260559,0.00356725,9.51889,0.00880291,7437.32,533.434,0.23727,0.0434674
"ngc_6819", 295.3281, 40.1897, 0.3732, -2.894, -3.869,9.6669,0.0671196,0.124879,0.0171996,11.6404,0.0321381,28157,1326.26,0.179645,0.0218704
"ngc_7789", 359.3349, 56.7239, 0.4778, -0.917, -1.957,9.20137,0.00920047,0.341816,0.00329438,11.4029,0.00914,22149.6,778.517,0.243357,0.0254973
